,user_id,user_statuses,name,tweet,retweets,location,created,followers,is_user_verified,favorite_count,in_reply_to_status_id,keyword,language
49,3394190795,61879,ayoitsli,Barbie movie marathon 🥰,0,"Tallahassee, FL",10-Jun-2021,1368,False,0,,movie,de
50,1351932915001786371,69,sat4nxx,teen beach movie esmurra hsm,0,Devil,10-Jun-2021,54,False,0,,movie,de
51,1317586190904721410,180,PeraFlorian,"@lostinfirebby The Aserbian Movie ist schon etwas extremes... Ich persönlich fand ihn zu ekelhaft.

Sensesless
Bzw"" der Sinne Beraubt""",0,,10-Jun-2021,1,False,1,1.4031233520305603e+18,movie,de
52,1395250970620174338,157,femiagbabiaka1,@moonpolysoft big zeitgeist: the movie energy,0,,10-Jun-2021,41,False,1,1.4031180640910991e+18,movie,de
53,1914369175,97500,GuteNudelSterne,"Hau äbaut movie laik ""Frozen"" or ""Tangled"" bat wiff mie änd taitled ""Noodled""",0,,10-Jun-2021,37,False,0,,movie,de
54,1260044638246879232,120041,dattebyeyo,the demon slayer movie in on tiktok https://t.co/YkyqvSZnBg,10,fe/fi/fo/fum lesbian + 22 ,10-Jun-2021,1139,False,18,,movie,de
55,1380674428443496453,114,eliashatrecht,"Filmkritik #53 mit eurem professionellen #Filmkritiker

The Lego Movie 2: 5,8/10 https://t.co/SucMyvZl2a",0,Deutschland,10-Jun-2021,6,False,0,,movie,de
56,4626791495,54303,Gintoki_27,@yasuoo24 @Infernoidd Heute könnte ich dieses panel SOOOOOOOO gottlos machen ihr wisst garnicht aber gintama tot wenn movie kommt 2 wochen hype dann bye,0,Golden Land,10-Jun-2021,1280,False,2,1.403100589895127e+18,movie,de
57,1323641370456821766,21956,HereNaabi,@daffyyy_duck Horror movie dekh lein☻😂,0,🌚No,10-Jun-2021,1121,False,0,1.4030989349738004e+18,movie,de
58,1223392446668853249,13167,Infernoidd,"@WlZZYBOP Pokémon movie 16 Mewtoos reborn 
What movie do u think bro?",0,,10-Jun-2021,352,False,3,1.4030954365887324e+18,movie,de
59,1132720618426683392,1896,Jeffsintune,@EternallyJustMe Favorite Gene Wilder Movie: HAS to be Young Frankenstein!,0,"Phoenix, Arizona",10-Jun-2021,453,False,1,1.4030595369787187e+18,movie,de
60,826869114,398141,NMRNowPlays,"Lalo Schifrin - Bullitt, Main Title (Movie Version) #radio #nowplaying #laloschifrin #soundtrack #jazz #funk https://t.co/JekaaibPHN",1,"Paris, Ile-de-France",10-Jun-2021,398,False,1,,movie,de
61,4830194345,20140,x__thabbi,@T_Theys @JoodTshepo Die movie die monate👀,0,Pretoria|Kimberley,10-Jun-2021,2347,False,1,1.4029840367257805e+18,movie,de
62,1290484084334977024,810,palisoc_daniela,movie marathon den sana ehem @DogilloKristine,0,,10-Jun-2021,189,False,0,,movie,de
63,1393764523954229248,192,saraacxg,@tallestarthoe movie marathon,0,,10-Jun-2021,204,False,0,1.403083966328963e+18,movie,de
64,3866116755,7375,swtcreams,"DILO BESTIE, BEST MOVIE https://t.co/TZFnvpLIUx",0,OK ORCHESTRA,10-Jun-2021,256,False,0,,movie,de
65,1215380281458397191,23292,mljamathers,dylan o'brien and mark wahlberg in one movie AHHH,0,y2k b!tch || she/her ,10-Jun-2021,1359,False,1,,movie,de
66,1188782706,4095,jonathanmizero,@MusaKankou movie marathon,0,,10-Jun-2021,453,False,0,1.4030762512255795e+18,movie,de
67,1268986705459249152,227,maddiscomkk,@enorias_ einfach movie review page geworden hier,0,,10-Jun-2021,14,False,0,1.4030730861115556e+18,movie,de
68,1037858175817531393,49179,Cryptid__Bunny,"SPOILERS FOR METALOCALYPSE MOVIE
.
.
.
.
.
ME AND MY BUDDY ARE GOING OFF THE SHITS BHDJKGSKHBHESKBGHKEBKHGEBHJGE https://t.co/BmWDRFTcsk",1,BLM/ACAB / PRIDE COMMS OPEN,10-Jun-2021,919,False,2,,movie,de
69,604729626,46749,PuniPuniJapan,Movie in Japanese is 映画 (EIGA)! Movie genre in Japanese!  Learn Japanese Language! https://t.co/rJDKSExORF,0,PuniPuniJapan,10-Jun-2021,4173,False,0,,movie,de
70,18283789,2708,pixelmonsters,"Ryan Reynolds zeigt neues zum Game-Movie #FreeGuy.
Wird auch Zeit dass wir den endlich im Kino gucken können.
#SummerGameFest #E32021",0,Berlin,10-Jun-2021,591,False,0,,movie,de
71,1038512276498595840,7530,jeraforms,movie marathon👽,0,,10-Jun-2021,215,False,0,,movie,de
72,1336632583694602242,14113,heyitschrysan,@hinphile Movie marathon,0,"mulfand, but mostly ronans 🥰",10-Jun-2021,707,False,0,1.4030494143908168e+18,movie,de
73,88408866,8065,Churanetor,#BoycottBollywood kehke piratebay se movie download karne waalo.... https://t.co/jYKyCooHaJ,0,City of Angels,10-Jun-2021,160,False,0,,movie,de
74,1365120479254573058,1013,aishanachia,"Movie: Forgotten 
Genre: Thriller 
Duration: 1h 48m
Cast: Kang Haneul, Kim Muyeol
⭐ 4. 5/5 https://t.co/Fy0uNvEbWx https://t.co/hUxFnvifsQ",0,,10-Jun-2021,49,False,0,1.3931982205037036e+18,movie,de
75,1337764426208792576,32240,SAEntMemoraPro,Movie flyer flyer [Gundam] 22 pieces set Mini Poster Anime Manga New #ebay #entertainmentmemorabilia #memorabilia https://t.co/Yw3o2ja6DO,0,,10-Jun-2021,171,False,0,,movie,de
